destination,Afghanistan,Albania,Algeria,American_Samoa,Andorra,Angola,Anguilla,Antigua_and_Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia_(Plurinational_State_of),Bosnia_and_Herzegovina,Botswana,Brazil,British_Virgin_Islands,Brunei_Darussalam,Bulgaria,Burkina_Faso,Burundi,Cape_Verde,Cambodia,Cameroon,Canada,Cayman_Islands,Central_African_Republic,Chad,Channel_Islands,Chile,China,Hong_Kong,Macao,Colombia,Comoros,Congo,Cook_Islands,Costa_Rica,Côte_d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,Dem._Rep._Korea,Democratic_Republic_of_the_Congo,Denmark,Djibouti,Dominica,Dominican_Republic,Ecuador,Egypt,El_Salvador,Equatorial_Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland_Islands,Faeroe_Islands,Fiji,Finland,France,French_Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle_of_Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao_PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Mali,Malta,Marshall_Islands,Mauritania,Mexico,Micronesia,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New_Caledonia,New_Zealand,Nicaragua,Niger,Nigeria,Niue,Macedonia,Northern_Mariana_Islands,Norway,Oman,Pakistan,Palau,Panama,Papua_New_Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto_Rico,Qatar,Korea,Moldova,Romania,Russia,Rwanda,Saint_Kitts_and_Nevis,Saint_Lucia,Saint_Pierre_and_Miquelon,Saint_Vincent_and_the_Grenadines,Samoa,San_Marino,São_Tomé_and_Principe,Saudi_Arabia,Senegal,Serbia,Sierra_Leone,Singapore,Sint_Maarten,Slovakia,Slovenia,Solomon_Islands,Somalia,South_Africa,South_Sudan,Spain,Sri_Lanka,State_of_Palestine,Sudan,Suriname,Sweden,Switzerland,Syria,Tajikistan,Thailand,Timor-Leste,Togo,Tonga,Trinidad_and_Tobago,Tunisia,Turkey,Turkmenistan,Turks_and_Caicos_Islands,Uganda,Ukraine,United_Arab_Emirates,United_Kingdom,United_Republic_of_Tanzania,United_States_of_America,United_States_Virgin_Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela_(Bolivarian_Republic_of),Viet_Nam,Wallis_and_Futuna_Islands,Western_Sahara,Yemen,Zambia,Zimbabwe
French_Polynesia,,,681,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,20918,,,,,360,,,,,,,,,,,,,,38,17,,,,,,148,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2123,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,120,,,,,,,,,,,,,,,84,,419,,,,210,,,33,,,,
Gabon,,,100,,,1011,,,,,,,,,,,,,,457,,47682,,,,,,,,,,6386,153,,,46269,266,,,4132,,,316,,,,,14905,,,3099,,,,,,146,8135,,,,,,,,79434,,,,,,,,,14678,,,,,80,5811,,,,,,4546,,,,,,,,,,,,,15,,,29,,,,,,,,,2284,,,,,,,,,,50384,,,,,,,,,,653,,,,,,,,,,,21840,,,,,,,,,,,,,,,,,177,,,,191,,,,,,,5944,,27861,,,,,,,,,12,,,,,,,,,26,,,,21023,,,204,,,,,,,,,502,,,,,,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40369,12328,,,,,,,,,,,,,,,,,,,,,,,,,,968,,,,,,,,9251,,,3257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118452,,2330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,40,10,17,,,,,,15,12358,,,25,5821,,,,,1066,22,,,,,,,,,,,225,,,,,,,,,,,,73,,,,,,,,,,12,,,33,,,,,,,,,,,,119,,,,,,11,39,,,,,610,,159,,,,,,,,,,48,,31,,119,,,,31,17,,,,1662,,,,242,,199,9,,,,,204,,,,,,,,,,,,28,,,,,,,,17,11,,,,,,,,,,,85,,,,,20,,175,,,,,468,214,35936,,,,,,,,,,,,,,,,,,,,,18,,,,,,14,,144,,,,,,,457,197,,,11792,,33,,107,,,740,,,,,,,,
Germany,83992,15209,19617,,,,,,15626,10629,,11710,217137,16168,,,6386,,21522,29459,,1805,,,4520,168458,,53860,,,88792,1302,590,,2271,16772,16602,,,267,,13438,86291,,,18643,,3543,,1594,3402,176585,12246,,1561,458182,2521,7356,21894,,,9349,7153,19683,1122,,12337,9883,,17541,,,,13732,122911,,440,3725,19290,,25409,181290,,,,1764,3566,,,1333,1214,145629,1519,57568,16555,115936,96977,9587,,12560,349395,1923,27886,10674,848587,12673,,,70534,3030,25889,67045,,1660,3768,258,42010,17652,1342,,5175,1222,633,,,15399,,,,16238,,96565,,1918,,,3307,117420,,2732,1281,795,22442,,68560,,7450,,42295,,618,,4289,15652,47417,1592694,83003,,,24582,19553,497518,893657,1040,,,,,,,,3157,3513,89923,2744,2405,,36126,33498,,6203,15483,,84770,39380,,,,16851,71058,44761,24433,64068,,12013,,773,34842,1370193,5583,,2185,220141,,87123,1136,115973,,2875,35633,,7671,95221,,,2438,848,
Ghana,,,13,,,,,,,,,33,,,,,,,,,,17183,,,,,,13,,,,58704,,,,116,283,,,15,,,232,,,,,,,,64621,,,,,,,30,,,,,,39,,,,,,30,,,,,223,,,1645,,,,,,,,,140,,,,,,,871,,,,,,46,236,,56,,,15,,,,,,1006,,30418,,,,,,,,5137,,,13,,,,,,,,,,,,,187,,,,6048,70214,,,,,,67,,,,,,28,47,,,,,,,67,382,,,,,,,,,75,,2386,,,,,,,,,,20,,25,,,148,52,,,,90343,,,,,,,,,,1390,8,625,,,,,,,,,,,
Greece,5810,436566,1099,0,3,8,10,29,639,14257,0,20182,2247,504,21,22,9791,10,1453,5112,4,7,7,1,22,439,7,2211,0,,72744,24,132,13,20,460,12584,0,392,17,1,366,3388,0,,397,73,1410,0,37,80,427,351,,21562,4420,33,208,899,38,17,564,83,28209,49,0,395,128,20,2414,,0,0,768,6680,9,7,27,83218,114110,595,,2,1,0,30,54,2,10,37,49,1724,53,10130,442,1900,4745,588,4,710,6289,11,507,810,26926,452,,138,546,40,351,2047,0,30,639,9,543,137,129,,61,29,89,0,45,395,,44,7,,77,2070,63,24,7,,49,3737,,489,159,24,2851,,2164,0,515,4,31230,186,155,3,78,290,8452,15630,323,0,1100,210,10027,46098,54081,96,1,,0,6,447,0,6,424,638,4372,174,81,,860,129,0,739,6894,,1177,886,998,1850,8,5408,3689,9549,96,376,215,11,,16,634,33420,115,,138,19416,85,17643,394,22792,0,111,8277,70,1023,209,0,3,32,237,418
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,14,,,,,,10,,,,,,,,,,,,,,,,4460,,,,,,,,,,,,,269,,12,13,,,,,55,,,,,,,,,,,,,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,125,29,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,151,,,,,,,,,,,,14,,37,,,,,,,,,,,
Grenada,,,,,,,,38,,,,,,,30,,,178,,,,,,,,,,,14,,,,,,,,227,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,,,,,,,,,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,163,,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2196,,,,,,,,,,,704,,,,341,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,,,,,,,,,,,,,,,,,,,,,234,,,10639,,,,,,,,,,,,,,,,,,,2216,,,,1449,,,,,29289,,,3950,,2711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18508,,,,,,354,,,,,
