destination,Afghanistan,Albania,Algeria,American_Samoa,Andorra,Angola,Anguilla,Antigua_and_Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia_(Plurinational_State_of),Bosnia_and_Herzegovina,Botswana,Brazil,British_Virgin_Islands,Brunei_Darussalam,Bulgaria,Burkina_Faso,Burundi,Cape_Verde,Cambodia,Cameroon,Canada,Cayman_Islands,Central_African_Republic,Chad,Channel_Islands,Chile,China,Hong_Kong,Macao,Colombia,Comoros,Congo,Cook_Islands,Costa_Rica,Côte_d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,Dem._Rep._Korea,Democratic_Republic_of_the_Congo,Denmark,Djibouti,Dominica,Dominican_Republic,Ecuador,Egypt,El_Salvador,Equatorial_Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland_Islands,Faeroe_Islands,Fiji,Finland,France,French_Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle_of_Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao_PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Mali,Malta,Marshall_Islands,Mauritania,Mexico,Micronesia,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New_Caledonia,New_Zealand,Nicaragua,Niger,Nigeria,Niue,Macedonia,Northern_Mariana_Islands,Norway,Oman,Pakistan,Palau,Panama,Papua_New_Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto_Rico,Qatar,Korea,Moldova,Romania,Russia,Rwanda,Saint_Kitts_and_Nevis,Saint_Lucia,Saint_Pierre_and_Miquelon,Saint_Vincent_and_the_Grenadines,Samoa,San_Marino,São_Tomé_and_Principe,Saudi_Arabia,Senegal,Serbia,Sierra_Leone,Singapore,Sint_Maarten,Slovakia,Slovenia,Solomon_Islands,Somalia,South_Africa,South_Sudan,Spain,Sri_Lanka,State_of_Palestine,Sudan,Suriname,Sweden,Switzerland,Syria,Tajikistan,Thailand,Timor-Leste,Togo,Tonga,Trinidad_and_Tobago,Tunisia,Turkey,Turkmenistan,Turks_and_Caicos_Islands,Uganda,Ukraine,United_Arab_Emirates,United_Kingdom,United_Republic_of_Tanzania,United_States_of_America,United_States_Virgin_Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela_(Bolivarian_Republic_of),Viet_Nam,Wallis_and_Futuna_Islands,Western_Sahara,Yemen,Zambia,Zimbabwe
Mongolia,,,,,,,,,,,,233,16,,,,,,,,,,,,,,,,,,16,,,,,,154,,,,,,10595,,,,,,,,,,,,,18,633,,,,,,,,,,,,,,,,,3,81,,,,,183,,,,,,,,,,,,11,,111,,,,8,,,21,,415,,210,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,21,,,,,,170,13,,,,1853,,,3012,,,,,,,,,,,,,,,3,,,,,,,,,,,,21,,,,,,,,,222,,,,,,99,,799,,1,,,,278,,,,,
Montenegro,,2754,,,,,,,,,,137,257,,,,,,,,,,,,,32042,,,,,78,,,,,,69,,,,,,,,,,,,,,,15486,,,,120,,,97,,,,,,,,,,,,,,,,446,,,,,1876,,56,,,,,,,,,,47,,,,,,,,,209,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,155,,,,,,,3317,,,,,,,,,,,98,,,,,,105,925,,,,,,,,,,,9679,,,,56,1617,,,,,,,,,,151,212,,,,,,,,,87,,,,150,,103,,317,,,,,,,,,,,
Montserrat,,,,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,283,24,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,104,,120,,,,,,,,,,,
Morocco,,,13281,,,,,,,,,,,,,,,,,1386,,,,,,,,,,,,,,,,,,,,,,,,,,,,1859,,,,,,,,,,,,,,,,1837,,,,,,,,,,,34844,,,,,1424,,,,,,,973,,,,,,,,,,1694,,,,1874,,,,,,,,,,,1334,,,1162,,,,,,,,,,1574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1785,,,,,,,,,,,4051,,,,,,,2024,,,,,,,2549,,,,,,,1199,,1806,,,,,,,,,,,
Mozambique,,,,,,37716,,,,,,,,,,,,,,,,,,,,,,,,,,,1621,6580,,,,,,,,,,,,,,,,,,,,,,,,10094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2370,,,,,,,,,,,,23907,,,,,,,7567,,,,,,,60437,,,,,,,,,,,,,,,,,,,,,,,5169,,,,,,1363,,,,,,,,4390,,,,,,,,,,,,,,,,,,,,,,,,,19461,,,,,,,,,,,,,,,,,,,,,,,,7163,,,,,,,,,,,5128,93942
Myanmar,,,,,,,,,,,,,,,,,1024,,,,,,,,,,,,,,,,,,,,,,,,,,33656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,42,,473,,,37350,,459,48,61,,524,596,,48,47,31,,,180,,152,,,,,644,522,,,29,69,380,,,115,184,,,,,31,3039,,,,,1093,,,29,,665,,,74,98,3472,110,,,,,170,,,,,191,206,,,,77,524,,,84,,8870,139,,,,,,51,,,,,,,659,88,29,,58,,105,806,,110,,,1086,,,,,,45,123,,34,,,42,,361,,,,,,,,,,,,,134,,,,,505,,48,,,961,,,,51,,162,,,,,,240,164,423,,,34,,29,444,350,,,,,,,,,29,,159,,,,,,91,8300,,336,,,194,,98,418,,,72,,,,,,34,,,470,251,,1681,1074,1027,,,,,,,,,,2959,14141
Nauru,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,372,,,,,,,,,,,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,,,,,,,,,,,,,233,,,,,,,28740,,,,,,,,,,,,,,,,,,,20302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,33852,1192,3975,,,5321,23,32,3170,850,3994,10366,6671,728,56,121,1335,82,284,54038,,288,35,327,881,813,235,16089,,615,18714,375,2334,11997,738,1923,9776,,56,85,,3328,62708,,,14375,,996,,738,1268,267,1313,61301,563,681,97,5122,3514,96,75,8688,2182,12893,377,47,2150,937,83,9451,,,69,2896,24712,,96,672,296,123273,14212,13959,,47,,756,2619,247,2356,1411,466,12801,407,22713,132159,29405,41384,5161,,5086,24402,930,5835,923,228,2971,,1143,71,210,3202,3475,134,1937,908,,4433,1139,174,293,3630,179,348,,320,3801,,78,482,,,172291,655,1104,268,,1639,,,3814,478,270,7079,,161,,2738,596,12127,,318,132,201,3907,12381,98435,16750,,101,7092,173,14757,56841,1157,77,56,,67,26,,157,1850,1012,26711,4263,3547,21893,505,152,,27115,13470,,24734,10461,,4422,196783,4447,6889,9714,53,13990,,1180,,534,4568,204551,,,1508,1208,742,49549,1454,28285,,658,443,,3878,13600,,,486,994,1453
New_Caledonia,,,586,,,,,,,,,258,,,,,,,,,,,,,,,,,,,,,,,551,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43901,532,,,,,,,,,,,,,,,,,,,938,,,,,,263,,,,,,,,,590,,,,,,,,,,,,,,,,,,,,,,548,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,,,,,,,,,,,,625,,,,,,,,,,,,,3611,,583,11177,,,,
New_Zealand,2540,,,,,,,,1770,,,65161,1340,,,,1530,,,,,,,,,,,3728,,,,,,,6826,,9950,,,,,2503,92602,7334,,1197,,,13460,,,1795,,,,1337,,,1465,,,,,1324,,,,,,1187,,,54815,,3905,,,,,13447,,,,,,,,,,,,1421,,69800,5105,3201,5698,9398,,,2044,,10670,,,1714,1533,,,,,,,,,,,,,,16991,,,,,,,,,,,,,2200,,,1465,20589,,,,,,4364,,,,,2961,,,1399,,,38756,2019,,,,27640,,2319,5679,,,,,,52640,,,1951,,1103,,5579,,,,,1147,56396,,,9956,,,,1402,3185,,,8023,,,23291,,,,,,,1402,,265014,,22300,,,,,,6393,,,,1471,8416
Nicaragua,61,,113,,,,,119,270,,,,38,,84,,,,,44,24,,,,64,,,122,,,61,,,,,,252,,,,,126,139,,,447,,,,10772,,,941,,,,,47,52,,,69,111,,2444,,,,,81,,,,,148,,,,,300,,,,,,1762,,,,23,12439,,,24,,,,24,,,190,20,40,26,,,,,,,,,,,,,,,,,,,,,,846,,,,,,,,,,,,267,,,,,24,,,,,,,,405,,,228,,,,58,,61,,,194,,,,,,,,,,188,,,,,,,,38,,,460,,,,,33,84,,,,,,,,,,,,,78,,71,,3606,,38,,,159,,,,30,,
Niger,,,460,,,,,,,,,,,,,,,,,,,17908,,,,,,,,,,19323,,,,417,,,,756,,,,,,,,,,,1419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,,,,,,,94640,,,,,,,,,,,,,,,,,,,,,93179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,,,,,,,,,,,,,,529,,,,,,,,9702,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,351985,,,,,,,,,,,,,,26893,,,,29175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20541,,,,,,,,160967,,,,,,,,,,,,,,,,,,,,112733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4073,,,,,,,,,,,,,,,,,,,,147698,,,,,,,,,,,,,,,,,,,,,,,
Niue,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,10,,,,,,,,,,,
Macedonia,,67799,,,,,,,,,,,,,,,,,,,,,,,,8713,,,,,1072,,,,,,,,,,,,,,,,,,,,,1433,,,,53,,,,,,,,1964,,,,,,,,,,,,,,,,42,,233,,,,,,,,,,81,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9229,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,23,215,,,,,,,,,,,17930,,,,36,256,,,,,,,,,,,,,,,,,,,,19922,,,,64,,,,,,,,,,,,,,,
Northern_Mariana_Islands,,,,,,,,,,,,,,,,,370,,,,,,,,,,,,,,,,,,,,,,,,,,2592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726,,,,,,,,,,,,,,,,,,536,,,,,,,,,,,,,,,,,,,,,46,,,1115,,,,,,,,,,125,,,,,,,,,,,,,564,,,,,11045,,,911,,1436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1249,,,,,,,,,,,
Norway,13270,979,1223,,,495,,,1098,304,,2230,1595,526,21,32,1008,23,1031,1678,,28,,369,540,13348,119,5209,,34,5759,31,1025,409,409,684,3061,,,24,,6658,11095,1238,0,5699,,224,,280,339,3427,976,,198,2162,37,2210,25595,58,,799,767,1082,204,,14824,5069,,7988,,892,41,6854,6375,,,1163,315,28318,1900,2304,299,,,449,276,64,88,40,119,3945,8313,11977,1543,16222,22252,1115,,795,4020,162,1396,432,941,1985,,403,194,100,9647,1866,,932,545,27,35963,141,476,120,845,53,100,,60,1237,,,147,408,,5583,193,3143,82,,1576,8686,,637,193,48,1795,,2494,,,54,19498,,60,,150,1492,20741,91361,2885,0,68,7496,781,12137,17310,618,,,,,,,,634,255,3926,519,772,,3857,382,,27311,1466,65,6308,9289,3342,3300,41,49707,2250,5536,109,18218,,116,,348,1014,11230,76,,1138,4270,437,19547,941,17695,,236,493,,1070,13835,,42,355,543,294
Oman,,,,,,,,,,,,,,,,893,247568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69046,,,,,,,,,,,2642,,,,,,,,,,,,,,,,,,,1076151,58468,,9610,,,,,,,17108,,,,668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1264,,,,,,,,,,,195644,,,,,,36168,,,,386,,,,,,,,,,,,,1673,,,,,,,,,,,317,,23519,,15552,,,,,,,,,,,,,,,,,14848,9369,,,,,,,,,,,,,
Pakistan,1710378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1709217,408,2301,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,241,,,,,,,,,2919,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,,,,,,,,,,,
Panama,,,,,,,,,2550,,,279,108,,,,42,32,,271,86,,,,454,,,2002,,,73,,,,,,1808,,,,,1813,18665,281,,55251,,,,7760,,102,2825,31,,38,,,147,,58,8095,2672,73,3225,,,,,,,,,46,969,,,,58,1065,,325,,27,,1606,,,48,542,1504,59,,4481,135,86,,92,,1114,1318,697,372,119,,,,,,,,526,,,38,,46,,,,28,,,,,4832,,,,,,79,,98,,,,482,,50,12915,,37,,,,77,,84,,,,122,4290,1601,196,254,721,,402,,182,995,,,,46,,,,,50,,27,,46,,36,,,,46,,3702,,167,,,212,367,265,,144,,,,119,,112,,,,502,,2017,,14040,,762,,,9883,59,,,,,
Papua_New_Guinea,,,,,,,,,,,,9183,,,,,,,,,,,,,,,,,,,,,,,,,235,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,156,13527,,,42,,,,,258,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,1778,,,,,,,,,,,,,,,1459,,,,,64,,,26,,,,,,,,,,,,,51,,,,221,,,,,79,,,,,,,,,,,27,,,,,,,,,1616,28,731,,,,99,,,,,,,
Paraguay,,,,,,,,,57056,,,,,,,,,,,,,,,,1009,,,73715,,,,,,,,,2281,,,,,2109,780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614,,,,,1659,,,,,,,,,,,,,,,,,,,,,876,,1983,,,,,,,,,,,,,,,,,,,,,,,1605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872,,,,2547,,,,,,,,,,,,,,,,,,,,,,,,883,,,,,,,,,,,,,,,,,,,,,174,,1576,,2925,,,,,,,,,
Peru,,,19,,,15,,,14386,,,601,200,,,,,,,626,,,,,16767,,,8817,,,69,,,,,,3062,,,,,9437,18783,,,7599,,,,343,,92,922,,,91,88,,247,,,184,6855,20,110,,,17,,,,,,72,3952,,,,,5215,,60,,,,166,,,,49,168,65,15,1434,43,59,19,215,,516,4153,,3417,39,,,,,,,,71,,,,,,15,,,44,,21,,,3294,,,,,,38,,,,,,691,,95,164,,,,,,107,,73,,350,,555,,328,201,131,139,,1691,,186,641,,,,,22,,,,33,,,,,,,29,,,118,,6648,,,,,287,794,,,21,,,,,,52,,,,245,,2945,,18958,,623,,,4129,,,,,,
Philippines,1220,116,462,,,76,,,148,135,63,3993,503,,,111,158,,,533,,,,,35,,,162,,82,,,,131,39,,5565,,,,,93,35952,256,,125,,529,,39,,,,,,,5753,32,442,,,,459,161,,,,,,,,,,112,1204,,,,,3786,34,153,,,1008,34,,,,,,244,53,10639,3304,586,71,431,,614,1731,,13749,177,,53,,171,,287,,134,,,48,,,,,,793,,,,,145,,,,,,,,421,,,68,483,,383,,,192,,,,653,408,499,34,,60,,111,,110,60,51,120,6906,,35,67,,,,,,,,,733,,,,820,,,,,,813,,1305,172,,62,125,605,1033,62,,340,141,,,,568,879,,,,,431,4282,,35564,,,,,,413,,,,,
Poland,141,126,582,,,56,,,272,2104,,908,3789,266,,,99,,75925,5219,,,,,48,3476,,260,,,1729,,,,26,36,2951,,,,,58,1177,,,123,,106,,35,,785,225,,208,4512,,,892,,,20,45,452,,,30,198,,43,,,,250,26120,,,,325,76313,35,3098,,,,,55,,26,,,1343,492,857,112,230,425,7591,,346,9934,,510,136,4603,60,,191,125,,1550,382,,,240,,50444,230,,,40,29,,,,212,,24,322,58,,317,26,,,,55,2589,,106,,,380,,265,,1528,,213,,32,,,111,194,,136,,25,117,554,2480,38147,,,,,,,,,174,87,1034,,,,1295,152,,,380,,4820,85,,112,,1306,1015,588,57,98,,,,,409,873,53,,62,206519,125,34545,69,13671,,93,496,,72,2792,,,113,42,103
Portugal,,50,230,,372,156251,,,1320,100,,1202,504,65,,,1470,,946,3421,,33,,,213,42,,134245,,,5179,,,59532,,73,7275,,,,,194,10461,132,1995,644,,474,,,130,81,1621,,29,247,73,1816,395,,,66,447,420,85,221,,128,578,30,,,,334,90792,,566,114,1070,26905,192,186,,,,30,4500,28422,,,,398,28,7809,247,203,42,1561,,339,2726,26,309,28,872,101,,,,,206,73,,28,28,202,364,3926,26,457,49,113,43,,40,264,,,,77,,1968,70228,,,,530,3960,,44,,,265,,272,,331,,1935,,35,,53,285,474,974,,,,129,19726,22763,5674,,,,,,,,17915,,2078,51,53,28,,92,55,,,11028,,15843,26,,,,803,16183,26,,272,1717,74,,,137,296,,,27,46533,,18383,68,6957,,225,879,,24174,53,,,,,1145
Puerto_Rico,,,,,,,,,1180,,,,,,,,,,,,,,,,56,,,95,,,,,,,,,119,,,,,789,1088,,,3788,,,,685,,,13321,,,,,,,,1190,57891,851,35,846,,,,,,,,,,143,,,,,504,,,,,,381,,,50,160,408,,,49,,,,,,45,192,43,83,90,,,,,,,,18,,,,,,,,,,,,,,2647,,,,,,,,,,,,27,,,234,,,,,,,,,,921,,,686,140,18,35,,,114,,,,,,,,,,,,,,,,,,,,,,,,1816,,,,,,,,,18,,,,174,,21,,,,,,173,,165147,433,,,,2302,64,,,,,
Qatar,1571,,,,,,,,,,,,,,,764,160183,,,,,,,,,,,,,,,,,,,,,,,512,,,,,,,,,,,,,,,,,,,,,,,,163569,,,1854,,,1667,,,,,1061,,,,,,,,,,,,,,,,,,,645577,43049,,,,,,,,,32217,,,,6494,,,,8274,,,,,,,,,,,,,,,,,,,,1437,,,,,151314,450,,,,,4071,,,,,,133212,,,,,,148496,,,,,,,,,,,,,,,,,897,,,,,,,,,1243,,2033,,54731,5595,18583,,,,7148,,2291,,,,,978,5046,,,,,9682,3841,,2280,,,,,,,,,34877,,
Korea,,,,,,,,,,,,4989,,,,,10772,,,,,,,,,,,,,,,,,,13497,,17298,,,,,,609332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2322,,,,,1791,,,,,,,,,,,,,,5494,31739,,,,,,,,22489,,1422,,,,1893,,,,,,,,,,,,1376,,,,,,,,25180,,,,,4403,,,10647,,,2212,,,1483,,,,,,9629,,,,,,45706,,,,,,,,4465,,,,,,,,,,,,,,,,,,,1924,,,20085,,,,,,,,31883,,,,,,,,,,,,4773,,66621,,,24012,,,113589,,,,,
Moldova,,,,,,,,,,,,,,741,,,,,2115,,,,,,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,185,,,,,,,,,,,,,,,,,,,,,,,607,714,,452,,,,,,,,,,112,,,,,,,,400,3285,,,,4452,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,133,683,,,,,1915,40760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596,,,,43223,,,,,,,704,,,,,,,,
Romania,,3,130,,,,,,24,32,,73,509,,,,100,,39,1102,,,,,,11,,29,,,10465,,,,,36,118,,,,,25,3722,,,,,,,,,18,42,,307,138,,,263,,,17,,105,,,,,,,,,,24,6471,,,,57,6552,57,4653,,,,,49,,,,,6420,,78,,1261,1419,657,,1837,38580,,34,120,85,,,,,,,806,,,,,12,30,,,,57,,,,116,,,,,,129,,,,,,198,,,,,170,,1536,,263,,289,,,,13,,40,170,364,,,23,109623,,5269,,,,,,,,,19,16,5783,,,,21,,,,,,29937,4,72,,,191,158,2576,,,,,,,1062,4476,,,,11900,13,5208,,2876,,,,,31,80,,,,,
Russia,5095,234,778,43,,511,49,,252,527287,,543,2953,767339,,,471,,764279,471,,94,,,84,515,28,433,,,5841,445,131,45,114,334,558,,91,152,,107,56171,60,,206,88,580,,32,110,321,2227,,716,11257,10624,,231,,,,241,1060,,104,,58751,,272,,,,2210,2567,,,,450221,142026,316,1952,,,,,204,131,,,,16841,44,5701,163,2012,986,175,,3649,1896,,1025,816,2560269,451,,85,591349,122,89389,968,,,270,,71078,36,84,29,1556,73,54,,,204,,45,21144,263,,1101,111,626,121,,175,548,,86,60,30,796,,255,50,701,52,728,,25,,36,277,147,29207,232,,26,3721,294314,3911,,45,,,,,,46,,219,73,,,50,,1832,350,,59,240,,1394,588,566,258,,475,580,3265,466508,217,,,,,335,10237,185664,,82,3269992,355,1741,217,4588,,121,1146803,,98,13671,,31,648,471,73
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134501,,,,,,,,,,,,,,,,,,,,,,,,,233744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92195,,,,42776,,,,,,,,,,,,
Saint_Kitts_and_Nevis,,,,,,,,404,,,,,,,24,,,96,,,,,,,,,,,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,57,,,,,777,,,,,,,,,,,,,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,,,,,,,,,,,613,,,,,,,,,,
Saint_Lucia,,,,,,,5,90,,,29,12,10,,11,,,421,,9,0,,2,,,,,8,8,,,,,,,,257,10,,,,,52,,,,,,,,,,83,83,,,,,,,261,38,,,,,,,,2,,,,,54,,,,,50,18,,,168,,3,,,2185,24,,,,218,,,,17,,,14,390,10,,,,,,,,,0,,,,,,,,,10,,,,,18,,,,,30,,,,,,,12,,1,,,69,,,,,,2,,7,,,,23,,,8,,,,,,,36,,,315,,,,,,,,,54,,,,,5,,,,,,22,,9,137,,,,,,526,,,,,,,,791,,877,94,,,,29,,,,,,0
Saint_Pierre_and_Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,
Saint_Vincent_and_the_Grenadines,,,,,,,,58,,,,,,,,,,351,,,,,,,,,,,,,,,,,,,172,,,,,,,,,,,,,,,,,152,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,439,,,,,246,,,,,,,,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,240,,,,,,,,,,,112,,,,,,,,,,,,,,,,,,,,976,,,,,,,,805,,342,,,,,,,,,,,
Samoa,,,,1379,,,,,,,,287,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,50,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,118,,8,,,,,37,,,,,,,,,,,,,,,,,,,,,,,43,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,1290,,,,6,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,65,,,,,,,,,23,,316,,,,14,,,,,,,
San_Marino,,37,,,,,,,85,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,4460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,135,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,
São_Tomé_and_Principe,,,,,,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,1363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,,,,,,,,,,,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi_Arabia,385241,,,,,,,,,,,,,,,,1022812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770483,,,,,,131493,,,,,,,,,,,,,,,,,,,,,,,,2003256,1368407,,4865,,,,,,,192620,,,,,,,,123277,,,,,,,,,,,,,,,,,,,,,,214371,,,403005,,,,,,,,,,,,1187817,,,,,,516223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423765,,385241,,,,659067,,,,,,,,,,,,,,,,,,,,,,,,,616386,,
